tur-pa-9001 | T.8.3.18 | z2 | k0 | Bir kentin sesleri, o kentin saatini tutar. Sabahın ilk ışığında simit tezgâhının tıkırtısı duyulur; öğleye doğru sesler kalabalı… | ✓Kentteki en yüksek ses vapur düdüğüdür.
tur-pa-1081 | T.8.3.17 | z2 | k0 | Parola seçerken çoğumuz aynı yolu deneriz: bir ad, bir tarih, sonuna da bir ünlem işareti. Kısa ama süslü bir parola, karmaşık gö… | ✓Bir parolayı asıl güçlü kılan özellik, onun …
tur-pa-1082 | T.8.3.21 | z3 | k0 | Bir video uygulamasını açtığında karşına çıkan liste, senin için özenle hazırlanmış gibi durur. Gerçekte o liste, daha önce izled… | ✓Rastlantısal karşılaşmanın artık ayrı bir ça…
tur-pa-1083 | T.8.3.18 | z3 | k0 | Evlerde artık kullanılmayan telefonlar çoğunlukla çöpe gitmez; çekmecede bekler. Kimisi ekranı çatladığı için, kimisi yalnızca ye… | ✓Cihazlar bekledikçe içindeki metallerin de b…
tur-pa-1084 | T.8.3.16 | z2 | k0 | Bir zamanlar tanımadığın bir mahalleye giderken kâğıt haritaya bakar, caddeleri kafanda birbirine bağlardın. Şimdi telefon sana y… | ✓Yol tarifi izlemenin yön duygusunu zayıflatm…
tur-pa-1085 | T.8.3.17 | z1 | k0 | Gece yatağa girdikten sonra telefonun parlak ekranına bakmak, uykuyu kapıdan geri çevirmeye benzer. Göz aydınlığı algıladıkça bed… | ✓Yatmadan önce parlak ekrana bakmak uykuya da…
tur-pa-1086 | T.8.3.18 | z2 | k0 | Numaralanmış cümlelerden hangisi düşüncenin akışını bozmaktadır? | ✓II
tur-pa-1087 | T.8.3.21 | z2 | k0 | Sesli asistana bir şey söylerken farkında olmadan konuşma biçimini değiştirirsin: cümleyi kısaltırsın, vurguyu abartırsın, 'şey' … | ✓insanlarla konuşurken de aynı kalıba düşmek …
tur-pa-1088 | T.8.3.18 | z3 | k0 | Bir lokantada masaya oturduğunda artık sana kalın, kaplı bir menü uzatılmıyor; masanın köşesindeki küçük kareyi telefonunla okutu… | ✓Sipariş hatalarını çoğalttığına
tur-pa-1089 | T.8.3.18 | z3 | k0 | 'Tek kopyası olan dosya yok sayılır' derler; bilgisayarla uğraşanların eski bir sözüdür bu. Disk bozulabilir, telefon düşebilir, … | ✓Öğrencilerin yarıdan çoğunun dosyasını bulut…
tur-pa-1090 | T.8.3.21 | z3 | k0 | Bileğime taktığım saat, günde kaç adım attığımı sayıyor. İlk haftalar hoşuma gitti; akşam ekrana bakıp hedefi tutturduğumu görmek… | ✓Ölçmenin, ölçülen etkinliğin kendisini gölge…
tur-pa-1091 | T.8.3.19 | z2 | k0 | Telefonda bir cümle yazmaya başlarsın, sözcüğün yarısında ekran gerisini önerir. Çoğu zaman öneriyi kabul edersin; çünkü hızlıdır… | ✓Cümleyi Kendi Sesinle Bitirmek
tur-pa-1092 | T.8.3.11 | z3 | k0 | Otobüs durağında altı kişi bekliyoruz; altımızın da kulağında kulaklık var. Kimi başını sallıyor, kimi gözlerini yummuş. Yağmur d… | ✓Görülen bir an, yeri ve ayrıntılarıyla canla…
tur-pa-1093 | T.8.3.18 | z4 | k0 | Sabah yola çıkmadan önce haritada kırmızıya dönmüş caddeleri görür, başka bir yol seçersin. Peki o kırmızı nereden geliyor? Cevap… | ✓Yoğunluğun ölçülmesi için caddelere sayaç ku…
tur-pa-1094 | T.8.3.34 | z3 | k0 | Eski bir radyonun arkasını açtığında önce vidaları, sonra da parçaları görürdün; bozulan parça değiştirilir, radyo yıllarca çalar… | ✓İki cihaz, birkaç özellik bakımından karşı k…
tur-pa-1095 | T.8.3.17 | z2 | k0 | E-kitap okurken bir cümleyi yeniden bulmak istediğinde arama kutusu imdadına yetişir; saniyeler içinde karşındadır. Basılı kitapt… | ✓İki okuma biçiminin güçlü olduğu yanlar birb…
tur-pa-1096 | T.8.3.21 | z3 | k0 | Sipariş verdiğim kitabın nerede olduğunu günde altı kez kontrol ediyorum. 'Şubeye ulaştı', 'dağıtıma çıktı', 'teslim edilecek'. T… | ✓Yolculuğun her adımını bilmenin bekleyişin t…
tur-pa-1097 | T.8.3.18 | z4 | k0 | I. Metin Müzede bir tabloyu üç saniye izleyip fotoğrafını çekiyor, sonra bir sonrakine geçiyoruz. Fotoğraf, 'gördüm' demenin yeni… | ✓İkisi de fotoğraf çekmenin dikkati dağıttığı…
tur-pa-1098 | T.8.3.21 | z2 | k0 | Kafede oturup ücretsiz ağa bağlandığında bağlantı, senin cihazınla kafenin cihazı arasında kurulur; o cihaza bağlı olan herkes ay… | ✓banka işlemi yapmaktan kaçınmakta yarar vard…
tur-pa-1099 | T.8.3.18 | z1 | k0 | Numaralanmış cümlelerden hangisi düşüncenin akışını bozmaktadır? | ✓III
tur-pa-1100 | T.8.3.19 | z4 | k0 | Telefonun takvimi bir şeyi unutmana izin vermez. Doğum günü, randevu, ödev teslimi; hepsi zamanı gelince bir bildirimle önüne düş… | ✓Kendiliğinden Hatırladıklarının Listesi
tur-pa-1121 | T.8.3.16 | z1 | k0 | Bir kaldırımın tek işi vardır: yayayı taşımak. Ne var ki kaldırıma konan çöp kutusu, aydınlatma direği ve ayaklı tabela bu genişl… | ✓Kaldırım genişliğinin yaya için önemi
tur-pa-1122 | T.8.3.17 | z1 | k0 | Mahalle bakkalı, raflarındaki malı satmakla kalmaz. Kimin hasta olduğunu, kimin taşındığını, hangi çocuğun okula yeni başladığını… | ✓Bakkal, mahallede komşuluk ilişkisini de aya…
tur-pa-1123 | T.8.3.18 | z2 | k0 | Bir yaya köprüsü tasarlanırken en çok konuşulan şey açıklık, yani iki ayak arasındaki mesafedir. Açıklık büyüdükçe köprünün altın… | ✓En uzun açıklıklı köprü, en başarılı köprüdü…
tur-pa-1124 | T.8.3.17 | z2 | k0 | Eski taş evlerde tavanlar yüksek, duvarlar kalındır. Yaz sıcağında içeri giren ısı kalın duvarda yavaşlar; gün boyunca duvarın iç… | ✓Eski evlerde serinliği sağlayan şey yapının …
tur-pa-1125 | T.8.3.18 | z2 | k0 | Bir park yalnızca ağaç dikilerek olmaz. Oturulacak yer gölgede değilse yaz öğlesinde bank boş kalır. Ağaçların günün hangi saatin… | ✓Parktaki ağaçların bakımının nasıl yapılacağ…
tur-pa-1126 | T.8.3.16 | z2 | k0 | Aşağıdaki numaralanmış cümlelerle bir paragraf oluşturulmuştur. Bu cümlelerden hangisi düşüncenin akışını bozmaktadır? | ✓III
tur-pa-1127 | T.8.3.19 | z2 | k0 | Sokak lambası yalnızca karanlığı kaldırmaz; nereye bakacağımızı da söyler. Işığın düştüğü yer yürünecek yerdir; gölgede kalan köş… | ✓Işığın Çokluğu Değil, Dağılımı
tur-pa-1128 | T.8.3.18 | z2 | k0 | Bir merdiveni çıkarken onu düşünmeyiz; yalnızca rahatsız edici bir merdivende düşünmeye başlarız. Basamağın yüksekliği ile ayağın… | ✓Basamak sayısı azaldıkça merdiven daha güven…
tur-pa-1129 | T.8.3.21 | z2 | k0 | Durakta saat bakmayan tek kişi benim sanırım. Otobüsün ne zaman geleceğini bilmek beklemeyi kısaltmıyor; yalnızca beklemeyi ölçül… | ✓Beklerken çevreye bakmanın süreyi hissettirm…
tur-pa-1130 | T.8.3.17 | z3 | k0 | Bir meydanı meydan yapan şey büyüklüğü değildir. Çok geniş ve bomboş bir alan insanı içine almaz; karşıdan karşıya geçilen bir bo… | ✓Bir meydanı yaşatan şey alanı değil, kenarla…
tur-pa-1131 | T.8.3.18 | z3 | k0 | Çatının eğimi, o yörenin yağış biçimiyle birlikte düşünülür. Karın uzun süre kaldığı yerlerde çatı diktir; kar tutunamadan kayar,… | ✓Düz damlı yapılar dik çatılılardan daha ucuz…
tur-pa-1132 | T.8.3.21 | z3 | k0 | Bir kente bisiklet yolu çizmek, yalnızca asfalta boya sürmek değildir. Yol, araç şeridinin hemen yanındaysa ve aralarında fizikse… | ✓bir bisiklet yolunu işler kılan şey çizgisi …
tur-pa-1133 | T.8.3.16 | z3 | k0 | Aşağıda numaralanmış cümlelerle bir paragraf oluşturulmuştur. Bu cümlelerden hangisi düşüncenin akışını bozmaktadır? | ✓II
tur-pa-1134 | T.8.3.34 | z3 | k0 | Avlulu bir evde odalar dışarıya değil, içeriye bakar. Pencereler avluya açıldığı için sokaktaki toz ve gürültü içeri girmez; gün … | ✓Karşılaştırma
tur-pa-1135 | T.8.3.21 | z3 | k0 | Çocukluğumun sokağında iki katlı, sarı badanalı bir ev vardı; kapısının önünde iki basamak, basamağın yanında yassı bir taş bulun… | ✓Bir yerde yön bulmayı küçük ayrıntıların sağ…
tur-pa-1136 | T.8.3.19 | z3 | k0 | Bir caddede yürürken hangi dükkâna bakacağınızı çoğu zaman siz seçmezsiniz. Her tabela komşusundan daha büyük, daha parlak olmaya… | ✓Cephede Ortak Ölçünün Kazancı
tur-pa-1137 | T.8.3.11 | z2 | k0 | İstasyon binasının ahşap kapısı, itince uzun bir ses çıkarır. İçeride yüksek tavanlı tek bir salon vardır; duvarın ortasında, cam… | ✓Betimleyici anlatım
tur-pa-1138 | T.8.3.18 | z4 | k0 | Yüksek bir yapı yalnızca durduğu yeri kaplamaz; çevresindeki havayı da yeniden düzenler. Geniş ve düz bir cepheye çarpan rüzgârın… | ✓Yüksek yapılar, çevrelerindeki bütün sokakla…
tur-pa-1139 | T.8.3.21 | z4 | k0 | Bir yaya geçidinde yeşil ışığın kaç saniye yanacağı rastgele seçilmez; belli bir yürüme hızı varsayılarak hesaplanır. Ancak bu he… | ✓aynı yeşil süre, geçit uzadıkça yayaya yetme…
tur-pa-1140 | T.8.3.34 | z3 | k0 | Bir yapının ömrü, ilk yapıldığı iş sona erdiğinde bitmek zorunda değildir. Kullanılmayan bir yapıyı yıkıp yerine yenisini koymak … | ✓Örneklendirme
tur-pa-1141 | T.8.3.16 | z1 | k0 | Otobüs durağında geçen beş dakika, saatin ölçtüğü beş dakikadan hep daha uzun gelir insana. Aynı yolu yürüyerek gitsen süre değiş… | ✓Beklemenin zaman algımızı değiştirmesi
tur-pa-1142 | T.8.3.17 | z2 | k0 | Unutmayı bir kusur sayarız; oysa her şeyi hatırlayan bir zihin, altından kalkamayacağı bir yük taşırdı. Dün akşam yediğin yemeği,… | ✓Unutmak, hatırlamayı olanaklı kılan bir elem…
tur-pa-1143 | T.8.3.18 | z2 | k0 | Küçük çocuklar durmadan soru sorar. Bir yetişkin aynı soruların çoğunu sormaz; çünkü cevabını bildiğini sanır. Oysa bildiğini san… | ✓Çocukların soruları yetişkinlerin sorularınd…
tur-pa-1144 | T.8.3.21 | z3 | k0 | Mutfakta acele etmeyi en çok hamur cezalandırır. Ölçüyü tutturursun, unu eler, suyu ısıtırsın; sonra kabın üstünü örtüp beklemen … | ✓Sabrın, işe karışmamayı göze almak olduğunu
tur-pa-1145 | T.8.3.19 | z2 | k0 | Bazı arkadaşlıkların ölçüsü, birlikte ne kadar konuşulduğu değildir. Yan yana oturup uzun süre susabiliyorsanız, aranızda dolduru… | ✓Susabildiğin Kadar Yakınsın
tur-pa-1146 | T.8.3.18 | z3 | k0 | Bir konuda yanıldığını anlamak, insanın en geç öğrendiği becerilerden biridir. Çoğumuz yanlışı fark ederiz; zor olan, fark ettikt… | ✓Yanılgısını çabuk kabul edenler gerçekten ka…
tur-pa-1147 | T.8.3.16 | z3 | k0 | Aşağıdaki numaralanmış cümleler bir parça oluşturacak biçimde sıralanmıştır. Bu parçada numaralanmış cümlelerden hangisi düşüncen… | ✓II
tur-pa-1148 | T.8.3.17 | z1 | k0 | Sabah kalkınca hangi ayakkabıyı önce giydiğini düşünmezsin. Aynı sırayı yıllardır tekrarlarsın; el, aklından önce davranır. Diş f… | ✓Alışkanlık, zihne düşünmesi için yer açar.
tur-pa-1149 | T.8.3.21 | z2 | k0 | Uzaktaki birini özlerken aslında onun yüzünü değil, onunla birlikteyken olduğun hâli özlersin. O kişiyle beraberken daha sabırlı,… | ✓çoğu zaman insanın kendine duyduğu bir eksik…
tur-pa-1150 | T.8.3.21 | z3 | k0 | Sınıfta bir soru sorulduğunda cevabı bildiğim hâlde elimi kaldırmadığım günler oldu. Parmağımı kaldırmakla kaldırmamak arasında g… | ✓Susmanın nedeninin bilgisizlik değil görünme…
tur-pa-1151 | T.8.3.34 | z2 | k0 | Duymak ile dinlemek aynı şey sanılır; oysa biri kulağın, öteki dikkatin işidir. Duymak için bir şey yapmana gerek yoktur; ses gel… | ✓Karşılaştırma
tur-pa-1152 | T.8.3.18 | z3 | k0 | Kendini başkasıyla kıyaslamak, insanın en hızlı öğrendiği alışkanlıklardan biridir. Sınıfta bir arkadaşının aldığı notu duyar duy… | ✓Kıyas alışkanlığının yaşla birlikte azaldığı…
tur-pa-1153 | T.8.3.18 | z4 | k0 | I. Parça Bir işi yarıda bırakmak bize hep yenilgi gibi görünür. Oysa yarıda bıraktığımız işlerin bir kısmı, başlarken bizim işimi… | ✓İki parça da bir işi bırakmanın çoğu zaman d…
tur-pa-1154 | T.8.3.16 | z2 | k0 | Teşekkür, çoğu zaman en geç söylenen sözdür. Bir iyiliği görürüz, içimizden minnet duyarız, sonra bunu söylemeyi “uygun bir ana” … | ✓Söylenmeyen teşekkürün karşılıksız kalması
tur-pa-1155 | T.8.3.19 | z3 | k0 | Yalnızlık ile yalnız kalmak aynı şey değildir. Yalnızlık, insanın istemediği hâlde başına gelen bir durumdur; yalnız kalmak ise s… | ✓Seçilmiş Bir Sessizlik
tur-pa-1156 | T.8.3.18 | z4 | k0 | Acele, zaman kazandırdığını iddia eden ama çoğu zaman kaybettiren bir alışkanlıktır. Aceleyle yapılan iş bitmez, yalnızca ertelen… | ✓Aceleci sabah, sakin sabahtan her işte daha …
tur-pa-1157 | T.8.3.16 | z3 | k0 | Aşağıdaki numaralanmış cümleler bir parça oluşturacak biçimde sıralanmıştır. Bu parçada numaralanmış cümlelerden hangisi düşüncen… | ✓III
tur-pa-1158 | T.8.3.21 | z2 | k0 | Yeni bir şeye başlarken duyulan korkunun tuhaf bir yanı vardır: hep, en çok istediğin şeyin önünde belirir. Umursamadığın bir işe… | ✓Kalbin hızlanıyorsa, o işin senin için bir d…
tur-pa-1159 | T.8.3.11 | z2 | k0 | Kapıyı çarpıp odama girdim. Çantamı yere fırlattım, yatağa oturdum, bir süre duvara baktım. Sonra kalkıp pencereyi açtım; aşağıda… | ✓Öyküleyici anlatıma kişisel bir çıkarım ekle…
tur-pa-1160 | T.8.3.17 | z4 | k0 | İyi bir haber aldığında ilk yaptığın şeyi düşün: telefonu alır, birini ararsın. Bir sınav sonucunu, bir kabul yazısını, hatta küç… | ✓Sevinci paylaşmak, öğrenilmesi gereken bir g…
tur-pa-1181 | T.8.3.16 | z1 | k0 | Yola çıkmadan önce çantamı iki kez toplarım. İlk seferde aklıma gelen her şeyi koyarım: kalın kazak, üç kitap, yedek ayakkabı. İk… | ✓Yolculuk için çantayı hafif tutmak
tur-pa-1182 | T.8.3.18 | z2 | k0 | Çadır kurarken en çok zemine bakarım. Hafifçe eğimli bir yer seçerim ki gece yağmur yağarsa su altımda göllenmesin. Kapının rüzgâ… | ✓Çadırın su geçirmez kumaştan seçildiğine
tur-pa-1183 | T.8.3.16 | z3 | k0 | Aşağıdaki tabloda bir paragrafı oluşturan cümleler numaralanmış olarak verilmiştir. Numaralanmış cümlelerden hangisi düşüncenin a… | ✓IV
tur-pa-1184 | T.8.3.17 | z2 | k0 | Adada yaşamanın ilk kuralını bir hafta içinde öğrenirsiniz: saat sizin değil, vapurun saatidir. Alışverişinizi, konuk ağırlamanız… | ✓Adada günlük yaşam vapur saatlerine göre biç…
tur-pa-1185 | T.8.3.21 | z3 | k0 | Bir yabancıya yol tarif ederken çoğumuz aynı yanlışı yaparız: kendi belleğimizdeki işaretleri sayarız. “Eski fırının oradan sağa … | ✓karşıdakinin görebileceği işaretlere dayanan…
tur-pa-1186 | T.8.3.34 | z3 | k0 | Masamda iki harita duruyor. Biri bütün ülkeyi tek sayfaya sığdırmış; üzerinde yalnızca büyük şehirler ve ana yollar var. Öbürü bi… | ✓Karşılaştırma ve benzetme
tur-pa-1187 | T.8.3.17 | z1 | k0 | Dağ yolunda sis bastırdığında ilk isteğiniz hızlanmak olur; bir an önce bu beyazlıktan çıkmak istersiniz. Oysa sisin içindeki tek… | ✓Görüşün azaldığı yolda hızı düşürmek gerekir.
tur-pa-1188 | T.8.3.19 | z2 | k0 | Deniz fenerleri gemilere “buradan geç” demez; çoğu zaman “buraya yaklaşma” der. Sığlıkların, kayalıkların, akıntının tehlikeli ol… | ✓Işığıyla Uyaran Kuleler
tur-pa-1189 | T.8.3.18 | z3 | k0 | Yaz başında yaylaya çıkmak bir tatil değil, bir iş takvimidir. Karlar eriyince otlar diz boyu olur; hayvanlar bu otla beslensin d… | ✓Yaylaya çıkan herkes dönüşünde bir düğüne ka…
tur-pa-1190 | T.8.3.21 | z4 | k0 | Yolculuğu yalnızca varış saatiyle ölçmeyi bırakalı yıllar oldu. Bir güzergâh seçerken kendime üç soru soruyorum. Birincisi: Yol b… | ✓L güzergâhı
tur-pa-1191 | T.8.3.21 | z2 | k0 | Aynı yolu önce otobüsle, sonra bisikletle gittim. Otobüsteyken yolun iki kez uzun bir yokuşa tırmandığını hiç fark etmemiştim; bi… | ✓Yavaş gidilen yolun daha ayrıntılı tanındığı…
tur-pa-1192 | T.8.3.19 | z3 | k0 | Kıyıdaki kum tepeleri durur gibi görünür, oysa yavaşça yürür. Rüzgâr kumu denizden karaya doğru taşır; tepenin rüzgâr alan yüzünd… | ✓Yürüyen Tepeleri Tutan Kökler
tur-pa-1193 | T.8.3.16 | z2 | k0 | (I) Eski yollar rastgele çizilmemiştir. (II) Bir günlük yürüyüşün sonunda konaklanabilsin diye hanlar birbirinden belli aralıklar… | ✓III
tur-pa-1194 | T.8.3.11 | z3 | k0 | Tren, gece yarısına doğru bir ova istasyonunda durdu. Perondaki tek lamba, yağmurdan ıslanmış taşları sarıya boyuyordu. Camı indi… | ✓Öyküleme ve betimleme
tur-pa-1195 | T.8.3.21 | z4 | k0 | Bir kasabayı iki kez gezdim. İlkinde elimde bir gezi kitabı vardı; ikincisinde beni orada doğmuş biri gezdirdi. Kitap, meydandaki… | ✓Bir yeri tanımanın, bilgi edinmekten başka b…
tur-pa-1196 | T.8.3.18 | z3 | k0 | Göl kıyısındaki gözlem kulesine sabah erken çıkmak gerekiyor; kuşlar günün ilk saatlerinde daha hareketli oluyor. Kuleye giden pa… | ✓Dürbünün büyütme oranının nasıl seçileceğine
tur-pa-1197 | T.8.3.16 | z2 | k0 | Bir şehirde “Dere Sokak” adında bir yer varsa orada bir zamanlar gerçekten dere akmıştır. Yapılaşma sırasında pek çok dere boruya… | ✓Sokak adlarının eski coğrafyayı hatırlatması
tur-pa-1198 | T.8.3.21 | z3 | k0 | Dağ köyündeki küçük pansiyonu işleten aile, yılın yarısını hazırlıkla geçiriyor. Kışın yollar karla kapandığı için konuk gelmiyor… | ✓Eylüldeki düşüşün nedeni havaların soğumasıd…
tur-pa-1199 | T.8.3.18 | z4 | k0 | I. Temmuzda kasabanın nüfusu birkaç katına çıkar. Sahil yolunda yürümek için neredeyse sıra beklersiniz; fırıncı sabah hamurunu i… | ✓Kışın kasabada kalanların çoğu yazın başka y…
tur-pa-1200 | T.8.3.21 | z2 | k0 | Mağaraya girdiğinizde ilk fark ettiğiniz şey karanlık değil, sıcaklıktır. Dışarıda hava ister kavursun ister dondursun, içerisi y… | ✓Bu kararlı sıcaklık, yiyeceklerin bozulmadan…
tur-pa-1021 | T.8.3.17 | z1 | k0 | İlk sıcaklık ölçerlerde ortak bir ölçek yoktu; her yapımcı cam borunun üzerine kendi çizgilerini çiziyordu. Bu yüzden bir kentte … | ✓Ölçme, üzerinde anlaşılmış bir başlangıç nok…
tur-pa-1022 | T.8.3.16 | z1 | k0 | Güneş yalnızca ışık göndermez; uzaya sürekli olarak çok küçük yüklü parçacıklar da savurur. Bu parçacıklar Dünya'ya ulaştığında g… | ✓Kutuplarda görülen ışık perdelerinin nasıl o…
tur-pa-1023 | T.8.3.17 | z2 | k0 | Uzunluk çok uzun süre bedenle ölçüldü: bir adım, bir karış, bir kulaç. Bu birimler kolaydı ama herkesin bedeni aynı değildi; aynı… | ✓Ölçü birimi, ölçen kişiden bağımsız olduğund…
tur-pa-1024 | T.8.3.18 | z2 | k0 | Cam parçalarını inceltip cilalayarak yapılan ilk mercekler, gözün tek başına göremediği bir dünyayı açtı. Bir damla durgun suda k… | ✓Mikroskobu ilk yapanlar hastalıkların nedeni…
tur-pa-1025 | T.8.3.16 | z2 | k0 | Aşağıdaki tabloda bir parçanın cümleleri sırasıyla numaralanmıştır. Bu cümlelerden hangisi düşüncenin akışını bozmaktadır? | ✓III
tur-pa-1026 | T.8.3.19 | z2 | k0 | Vücut, daha önce karşılaştığı bir mikrobu tanır. İlk karşılaşmada savunma hücreleri yavaş çalışır; hastalanmamızın nedeni çoğu za… | ✓Hastalanmadan Kurulan Bellek
tur-pa-1027 | T.8.3.18 | z2 | k0 | Dünyanın farklı yerlerinde, soğuk ve kuru depolarda binlerce bitkiye ait tohumlar saklanıyor. Amaç, bir çeşit tarladan çekildiğin… | ✓Tohum depolarının kurulma maliyetine
tur-pa-1028 | T.8.3.21 | z2 | k0 | Bir yerleşim yeri yıkılıp üzerine yenisi kurulduğunda eski yapılar ortadan kalkmaz; altta kalır. Yüzyıllar boyunca bu iş birkaç k… | ✓aşağı inildikçe daha eski dönemlere ulaşılır
tur-pa-1029 | T.8.3.21 | z2 | k0 | Kıyı kasabasında balıkçılar saate değil çizelgeye bakar. Çizelge, suyun hangi saatte yükselip hangi saatte çekileceğini gösterir;… | ✓Uzaktaki bir gök cisminin günlük yaşamı düze…
tur-pa-1030 | T.8.3.18 | z3 | k0 | Kutuplarda yağan kar erimez; her yıl yenisi eskisinin üstüne biner. Alttaki tabakalar üsttekilerin ağırlığıyla sıkışır ve zamanla… | ✓Buz katmanlarının kalınlığı bütün yıllarda b…
tur-pa-1031 | T.8.3.17 | z3 | k0 | Yıldızların titriyormuş gibi görünmesinin nedeni yıldızlar değil, aramızdaki havadır. Atmosferdeki farklı sıcaklıktaki hava katma… | ✓Atmosferin yarattığı engeller ancak gözlemi …
tur-pa-1032 | T.8.3.21 | z3 | k0 | Laboratuvarda unutulmuş bir kap, dönüşte küflenmiş hâlde bulunur. Böyle bir kabın görebileceği tek işlem vardır: yıkanmak. Oysa o… | ✓Rastlantının ancak hazırlıklı bir bakışla de…
tur-pa-1033 | T.8.3.11 | z3 | k0 | Işığın bir yerden bir yere anında ulaştığı düşüncesi uzun süre doğal karşılandı; çünkü günlük yaşamda ışığın yol alışını fark ett… | ✓Bir olgunun nedenini adım adım açıklayarak a…
tur-pa-1034 | T.8.3.16 | z3 | k0 | (I) Gökyüzünden bize yalnızca gözümüzün algıladığı ışık ulaşmaz; yıldızlar arasındaki soğuk gaz bulutlarından ve pek çok gök cism… | ✓II
tur-pa-1035 | T.8.3.18 | z3 | k0 | Bir deprem olduğunda yer içinde iki tür dalga birlikte yola çıkar. Birinci tür dalga hem katı hem sıvı ortamlarda ilerleyebilir; … | ✓Sıvı katmanın kalınlığı dalgaların hızından …
tur-pa-1036 | T.8.3.19 | z3 | k0 | Havadaki karbonun çok küçük bir bölümü, zamanla kendiliğinden bozunan bir karbon çeşididir. Bitkiler havadan karbon alırken bunu … | ✓Geriye Sayan Karbon Saati
tur-pa-1037 | T.8.3.34 | z3 | k0 | Bir hastanede doğum yapan kadınların bakıldığı iki bölüm vardı. Birinci bölümde ateşli hastalığa yakalananların oranı öbür bölümd… | ✓Karşılaştırma yapma
tur-pa-1038 | T.8.3.18 | z4 | k0 | Açık denizde yer bulmanın iki ayağı vardır. Enlemi bulmak görece kolaydı: Güneş'in ya da belirli bir yıldızın ufuktan yüksekliği … | ✓Gemilerde yön bulmak için pusuladan yararlan…
tur-pa-1039 | T.8.3.21 | z4 | k0 | Bir okulun laboratuvar kulübündeki öğrenciler, bahçede yetiştirdikleri bezelyelerle yıllar önce yapılmış bir sayımı yinelemeye ka… | ✓üç ayrı yılda aynı oranın yinelenmesi bunu g…
tur-pa-1040 | T.8.3.21 | z4 | k0 | Bir ölçüm sonucu ilk kez duyurulduğunda, o sonuç henüz bilgi sayılmaz. Önce başka araştırmacılar aynı ölçümü kendi düzenekleriyle… | ✓Bilimin gücünün kendi yanlışını bulabilmesin…
tur-pa-1041 | T.8.3.16 | z1 | k0 | Bir kitabı elimize aldığımızda ilk gördüğümüz şey kapağıdır. Kapaktaki renk, yazı biçimi ve resim, daha ilk saniyede bize kitabın… | ✓Kitap kapağının okurda uyandırdığı ilk izlen…
tur-pa-1042 | T.8.3.18 | z1 | k0 | Ebru, boyanın yoğunlaştırılmış suyun yüzeyinde açılmasıyla yapılır. Sanatçı boyayı serpiştirir, ince bir çubukla yüzeyde gezdirir… | ✓Öğrenilmesinin uzun yıllar aldığına
tur-pa-1043 | T.8.3.17 | z2 | k0 | Bir filmde müziğin en çok konuştuğu yer, çoğu zaman sustuğu yerdir. Kovalamaca boyunca yükselen davullar birdenbire kesildiğinde … | ✓Film müziğinde asıl etkiyi, susulacak anın d…
tur-pa-1044 | T.8.3.19 | z2 | k0 | Aşağıda bir tiyatro afişinin nasıl tasarlandığını anlatan numaralanmış cümleler verilmiştir. Bu cümlelerden hangisi düşüncenin ak… | ✓IV
tur-pa-1045 | T.8.3.21 | z2 | k0 | Atölyenin köşesinde yıllardır aynı tuval duruyor. Ressam ara sıra önüne geçer, bir iki fırça darbesi ekler, sonra geri çekilip uz… | ✓Bir işi sürdürmenin, onu bitirmekten değerli…
tur-pa-1046 | T.8.3.18 | z2 | k0 | Minyatürde uzaklık, bizim alıştığımız biçimde çizilmez. Arkada duran bir figür, öndekinden küçük gösterilmek zorunda değildir; bo… | ✓Kullanılan boyaların doğal maddelerden elde …
tur-pa-1047 | T.8.3.16 | z2 | k0 | Bir romanı başka bir dile taşımak, sözcükleri tek tek değiştirmekle bitmez. Bir dilde üç sözcükle söylenen şaka, başka bir dilde … | ✓Bir Kitabın İkinci Yazarı
tur-pa-1048 | T.8.3.19 | z2 | k0 | Bir şiiri yalnızca gözle okuduğunuzda anlamını alırsınız; sesli okuduğunuzda ise bir de ritmini duyarsınız. Dizelerin uzunluğu, y… | ✓Çünkü şiir çoğu zaman önce kulakta, sonra zi…
tur-pa-1049 | T.8.3.19 | z2 | k0 | Fotoğraf makinesinin vizöründen bakmak, dünyayı bir çerçeveye sığdırmak demektir. Çerçevenin içine aldığınız kadar, dışında bırak… | ✓ama ikisi de aynı şeyi anlatmayı seçmemiştir.
tur-pa-1050 | T.8.3.18 | z3 | k0 | Küçük bir ilçenin kültür merkezinde dört ay boyunca dört ayrı sergi açıldı. Sergileri düzenleyen ekip, ziyaretçi sayısını artırma… | ✓Ziyaretçi sayısındaki artışı sergilerin yanı…
tur-pa-1051 | T.8.3.17 | z3 | k0 | Provaların ilk haftasında oyuncular metni ellerinden bırakmaz. Replikler doğru söylenir, hareketler yerli yerindedir; ama sahnede… | ✓Sahnedeki asıl etkiyi, oyuncular arasındaki …
tur-pa-1052 | T.8.3.21 | z3 | k0 | Sahnenin arkasında, seyircinin hiç görmediği dar bir koridor vardır. Kostümler orada sıraya dizilir; her askının üstünde bir ad, … | ✓Sahnedeki parıltının görünmeyen bir emeğe da…
tur-pa-1053 | T.8.3.19 | z3 | k0 | Aşağıda heykel sanatıyla ilgili numaralanmış cümleler verilmiştir. Bu cümlelerden hangisi düşüncenin akışını bozmaktadır? | ✓III
